x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature
108,78,-0.42662701,-4.03123856,-0.42546496,-4.01358938,0.99635506,3,0.00054738,43
110,78,-0.4263069,-4.03137493,-0.42380711,-4.01485634,0.99651939,3,0.00082006,42
112,78,-0.429629,-4.03467655,-0.42380613,-4.01768827,0.99651545,3,0.00069934,42
114,78,-0.43225035,-4.03624535,-0.42203358,-4.02075481,0.99680245,3,0.00067325,43
116,78,-0.4328714,-4.03309202,-0.41846403,-4.02376747,0.99688303,3,0.00060461,40
118,78,-0.43192285,-4.03210068,-0.41719294,-4.01668644,0.99672562,3,0.00067048,43
120,78,-0.4299047,-4.03121471,-0.41784713,-4.01679182,0.99657106,3,0.00056253,41
122,78,-0.43313226,-4.02559423,-0.42051786,-4.0210638,0.99644315,3,0.0005539,42
124,78,-0.4317008,-4.02354765,-0.41838798,-4.02039337,0.99644309,4,0.00032932,37
126,78,-0.42976594,-4.0199132,-0.41902941,-4.02041674,0.99648279,4,0.00041255,39
128,78,-0.43027276,-4.01916838,-0.41977757,-4.02753496,0.99641484,3,0.00097513,39
130,78,-0.43372884,-4.02026606,-0.42355689,-4.02510643,0.99613374,3,0.00083777,39
132,78,-0.4380613,-4.02238131,-0.42426741,-4.02428627,0.99615961,3,0.0007636,40
134,78,-0.43652984,-4.02229357,-0.42473769,-4.02421904,0.99620718,3,0.00083937,40
136,78,-0.44092324,-4.01941872,-0.42769438,-4.02837276,0.99624354,3,0.00064784,39
138,78,-0.43967608,-4.02076435,-0.42920816,-4.02134991,0.99639267,3,0.00082597,44
140,78,-0.43965119,-4.02411938,-0.43431374,-4.01917076,0.99667299,3,0.00049891,43
142,78,-0.43510208,-4.02691746,-0.43423507,-4.02197361,0.99670208,4,0.00015709,38
144,78,-0.43476996,-4.02659655,-0.4420563,-4.03423882,0.99671245,4,0.00016223,40
146,78,-0.43618101,-4.0281477,-0.44467968,-4.03690529,0.99662381,4,0.00028286,43
148,78,-0.43140605,-4.02880096,-0.44765988,-4.03357649,0.99660343,4,0.00022784,44
150,78,-0.43509924,-4.02845764,-0.45306119,-4.03941488,0.99666917,3,0.00098718,42
152,78,-0.43605995,-4.0276823,-0.45132735,-4.0409894,0.99680161,3,0.00096328,44
154,78,-0.43434629,-4.02254391,-0.45343572,-4.04147243,0.99707329,4,0.00018223,41
156,78,-0.43455166,-4.0217905,-0.4592655,-4.04129124,0.9970606,3,0.00098795,43
158,78,-0.43696535,-4.02229643,-0.4513891,-4.03596735,0.99706042,3,0.00037301,42
160,78,-0.44173047,-4.02435684,-0.45503011,-4.03308487,0.99700552,3,0.00054148,41
162,78,-0.44351935,-4.0261941,-0.4512125,-4.03677845,0.99695671,3,0.00032768,43
164,78,-0.44610697,-4.02315474,-0.46158352,-4.04364204,0.9970206,4,0.00022445,41
166,78,-0.44798046,-4.02361107,-0.4630596,-4.04205084,0.99699986,3,0.00066845,40
168,78,-0.44716856,-4.02435112,-0.46570349,-4.0395751,0.99692148,3,0.00091513,43
170,78,-0.45190611,-4.02358961,-0.46071166,-4.03728294,0.99686444,3,0.0008063,45
172,78,-0.45183122,-4.02566004,-0.45763308,-4.03433132,0.99675655,3,0.00075223,48
174,78,-0.45384943,-4.02423,-0.4570649,-4.0334425,0.99686092,3,0.00074807,50
176,78,-0.45710763,-4.02132845,-0.45629498,-4.0372262,0.9966796,3,0.00087765,53
178,78,-0.45796973,-4.02087879,-0.45874405,-4.03501034,0.996674,3,0.00084217,51
180,78,-0.45488223,-4.01967669,-0.45485365,-4.03288364,0.99663788,3,0.00065203,52
182,78,-0.45836356,-4.02089119,-0.45256704,-4.03325748,0.9966225,4,0.00018305,51
184,78,-0.45096773,-4.01854658,-0.4493356,-4.03238153,0.99647605,4,0.0001757,49
186,78,-0.45060226,-4.01900864,-0.44959474,-4.02435732,0.99632579,4,0.00030816,49
188,78,-0.4494203,-4.02181196,-0.45582315,-4.02395439,0.99614722,4,0.00018128,52
190,78,-0.45172063,-4.02049065,-0.45728722,-4.02508688,0.99610549,3,0.00057834,53
192,78,-0.45692056,-4.02185631,-0.45619169,-4.02450418,0.99617928,3,0.00029113,44
194,78,-0.45902932,-4.02552032,-0.45667279,-4.02581739,0.99630845,3,0.00059781,45
196,78,-0.46404839,-4.02573681,-0.45991939,-4.01853561,0.99619502,3,0.00053511,42
198,78,-0.46051359,-4.02656364,-0.47195083,-4.0262866,0.99609208,4,0.00014779,46
200,78,-0.46703833,-4.02446985,-0.468265,-4.02658224,0.99615085,4,0.00016508,46
202,78,-0.46444139,-4.02284956,-0.47026348,-4.03305197,0.99637258,4,0.00016201,45
204,78,-0.46773234,-4.01904917,-0.48158899,-4.02617598,0.99634147,4,0.00040868,43
206,78,-0.46236518,-4.01595116,-0.48350272,-4.02340937,0.99633342,4,0.00060843,44
208,78,-0.4646019,-4.02280235,-0.48019904,-4.02154446,0.99633974,4,0.00031922,44
210,78,-0.4627057,-4.02139044,-0.4788377,-4.01494932,0.9962483,3,0.00067709,44
212,78,-0.45998189,-4.02219296,-0.47912258,-4.01858902,0.99613076,4,0.00028687,44
214,78,-0.45709461,-4.01729774,-0.48337552,-4.02104044,0.99587291,4,0.00023713,40
216,78,-0.45564607,-4.01132202,-0.48840886,-4.02108622,0.99589765,4,0.00038088,36
218,78,-0.46073332,-4.00924969,-0.48619384,-4.01828527,0.99591076,4,0.00030585,31
220,78,-0.46821377,-4.00764608,-0.49067369,-4.01128292,0.99593008,4,0.00032461,35
222,78,-0.47124135,-4.00707388,-0.49150273,-4.00913048,0.99579054,4,0.00022977,36
224,78,-0.47391099,-4.01024008,-0.4940868,-4.01073313,0.99570203,4,0.00033536,38
226,78,-0.4720889,-4.01480484,-0.49418214,-4.00184107,0.99542212,4,0.00034569,36
228,78,-0.48049432,-4.01191187,-0.49850661,-3.99255204,0.99512064,4,0.00040249,39
30,80,-0.42337292,-3.98663878,-0.41947493,-4.00068235,0.997293,3,0.00080672,42
32,80,-0.42434439,-3.98895049,-0.42324346,-4.00099897,0.99729037,3,0.00098652,41
34,80,-0.42267165,-3.99056602,-0.4252255,-4.00134611,0.99726599,4,0.00021614,40
36,80,-0.42488867,-3.99207973,-0.42882678,-4.00225019,0.9972592,3,0.00064436,38
38,80,-0.42846695,-3.99235344,-0.43029872,-3.99983883,0.99717414,3,0.00081441,39
40,80,-0.42785609,-3.9973731,-0.42707273,-4.00021219,0.9970243,3,0.00050699,37
42,80,-0.42745924,-3.99638391,-0.43157339,-4.00089836,0.99703383,3,0.00061626,36
44,80,-0.43440416,-3.99616194,-0.43449566,-4.00035095,0.99683493,3,0.00048114,36
46,80,-0.43615878,-4.00132799,-0.43408084,-4.00318384,0.9968425,3,0.00059276,36
48,80,-0.43807927,-4.00034142,-0.43598354,-3.99840474,0.99682063,3,0.00038967,36
50,80,-0.44148794,-4.00238562,-0.43908679,-3.99773598,0.99693578,3,0.00065188,34
52,80,-0.44463828,-4.0034399,-0.43718046,-3.99141145,0.99697685,3,0.00077304,39
54,80,-0.44156048,-4.00353575,-0.43810213,-3.99246359,0.99699903,3,0.00083502,40
56,80,-0.44463614,-4.00103569,-0.43269232,-3.99325013,0.99699289,3,0.00055399,36
58,80,-0.44187704,-4.00007677,-0.43570933,-3.99054074,0.99709475,3,0.00030073,35
60,80,-0.44286704,-4.00355911,-0.4412894,-3.99647021,0.99718666,3,0.00071559,39
62,80,-0.44461963,-4.00680113,-0.43652272,-3.99486065,0.99720603,3,0.00064046,39
64,80,-0.44233397,-4.00754309,-0.43871245,-3.99343133,0.99709934,3,0.0005491,39
66,80,-0.44062108,-4.01162148,-0.43921357,-3.98923612,0.99715304,4,0.00022759,42
68,80,-0.43617415,-4.01336479,-0.43683702,-3.98971367,0.99717915,3,0.00064026,47
70,80,-0.43225238,-4.01756811,-0.43148857,-3.99245381,0.99724954,3,0.00073536,46
72,80,-0.42986202,-4.01668406,-0.42920077,-3.991184,0.99737835,3,0.00062734,48
74,80,-0.42966521,-4.01771498,-0.42325217,-3.9871347,0.9974553,3,0.00055008,47
76,80,-0.42005125,-4.01943302,-0.42289388,-3.99059772,0.99746668,3,0.00051289,49
78,80,-0.42551607,-4.01523542,-0.42316604,-3.9939177,0.99740636,3,0.00048612,49
80,80,-0.42220381,-4.01140976,-0.42148077,-3.99400282,0.99741256,3,0.00091202,49
82,80,-0.41619116,-4.0114131,-0.42158097,-3.99419498,0.99719614,4,0.00020787,45
84,80,-0.41814438,-4.01246452,-0.42482629,-3.99472213,0.99722946,4,0.00021972,48
86,80,-0.41919917,-4.0132122,-0.42416567,-3.99776506,0.99722296,3,0.00044148,46
88,80,-0.41799369,-4.01198387,-0.42264301,-3.9905982,0.99719906,3,0.00075974,48
90,80,-0.41860384,-4.00931978,-0.42174101,-3.98872447,0.99709558,3,0.00075646,49
92,80,-0.42070279,-4.01253033,-0.42273647,-3.98783207,0.99691123,3,0.0006307,45
94,80,-0.42045429,-4.01375198,-0.42310026,-3.99277592,0.99677873,3,0.00070368,47
96,80,-0.42078876,-4.02175522,-0.42338639,-3.99495316,0.99699068,3,0.00065614,50
98,80,-0.42289412,-4.02205229,-0.42325011,-3.99623299,0.99707377,3,0.00053281,45
100,80,-0.4187713,-4.02393818,-0.42722446,-3.99879193,0.99694866,3,0.00061001,46
102,80,-0.41957843,-4.02675343,-0.42646459,-3.9981873,0.99680239,3,0.00076212,43
104,80,-0.42102987,-4.02619076,-0.42497182,-4.00831413,0.99664146,4,0.00023465,41
106,80,-0.42352101,-4.02614212,-0.42591587,-4.00754976,0.99629259,4,0.00023623,42
108,80,-0.42411008,-4.02542973,-0.42597157,-4.00961447,0.99607182,4,0.00018404,41
110,80,-0.42675844,-4.0243454,-0.42226911,-4.01008892,0.99625057,4,0.00024785,42
112,80,-0.42451966,-4.02703524,-0.42214885,-4.01273727,0.99629819,4,0.00027773,42
114,80,-0.43159845,-4.03087997,-0.41940212,-4.01214218,0.99660265,4,0.00027089,42
116,80,-0.43093532,-4.02619553,-0.41848963,-4.0135231,0.99669337,4,0.00030912,41
118,80,-0.42964777,-4.02517128,-0.41870782,-4.00898552,0.99657315,4,0.00025014,40
