x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
224,404,-0.55455154,-3.14901257,0,-3,0.99477816,5,0.00026874,0,-0.00163694,0.00347674,0.0005176
226,404,-0.55870438,-3.14424253,-1,-3,0.99480337,5,0.00037805,0,-0.00162197,0.00348348,0.00048033
228,404,-0.56095487,-3.14009356,-1,-3,0.99487865,5,0.00027903,0,-0.00159405,0.00348521,0.00044831
30,406,-0.26036647,-3.05963612,0,-3,0.99750888,4,0.0003119,0,-0.00079653,0.00352965,0.00028012
32,406,-0.26310667,-3.06416154,0,-3,0.99740416,4,0.00033423,0,-0.00081539,0.00353409,0.00029845
34,406,-0.26544353,-3.06632876,0,-3,0.99732816,4,0.0003049,0,-0.00086421,0.00353877,0.0003045
36,406,-0.26701656,-3.06950784,0,-3,0.99731857,4,0.00038224,0,-0.00089978,0.0035431,0.0002944
38,406,-0.26885706,-3.07372236,0,-3,0.99730843,4,0.00033376,0,-0.00093361,0.00354818,0.00028176
40,406,-0.269541,-3.07702565,0,-3,0.99740928,4,0.00043958,0,-0.00096229,0.00355524,0.00026933
42,406,-0.27108714,-3.07858825,0,-3,0.99733454,4,0.00028638,0,-0.0009959,0.00356294,0.0002591
44,406,-0.27379385,-3.08208966,0,-3,0.997347,4,0.00032642,0,-0.00102112,0.00356909,0.00024425
46,406,-0.27491045,-3.08444762,0,-3,0.99731266,4,0.00031828,0,-0.00105078,0.00357347,0.00022595
48,406,-0.27500755,-3.08629203,0,-3,0.99721062,4,0.00033877,0,-0.00109976,0.0035757,0.00020777
50,406,-0.27876988,-3.08963394,0,-3,0.99715471,4,0.0003586,0,-0.0011696,0.0035773,0.0001807
52,406,-0.28368402,-3.09305763,0,-3,0.99693805,4,0.00022551,0,-0.00125177,0.00357604,0.00014963
54,406,-0.28503382,-3.09729123,0,-3,0.99678576,4,0.00047908,0,-0.00132702,0.00357044,0.00011132
56,406,-0.28748646,-3.101758,0,-3,0.99656481,4,0.00032117,0,-0.00139453,0.00356344,0.00006869
58,406,-0.29025695,-3.10585523,0,-3,0.99649519,4,0.00038481,0,-0.0014455,0.00355492,0.00001563
60,406,-0.29340526,-3.10893321,0,-3,0.99636853,4,0.00033054,0,-0.00148286,0.00354556,-0.00004857
62,406,-0.2946229,-3.11419678,0,-3,0.99636096,4,0.00042873,0,-0.00152715,0.00353431,-0.00012353
64,406,-0.29892635,-3.11978412,0,-3,0.99637836,4,0.00037151,0,-0.00156912,0.00351935,-0.00021294
66,406,-0.30447853,-3.12350726,0,-3,0.99652332,4,0.00040052,0,-0.00160081,0.00350122,-0.00030683
68,406,-0.30853146,-3.12806797,0,-3,0.99657381,4,0.00043201,0,-0.00159965,0.00347781,-0.00040952
70,406,-0.31230065,-3.13331795,0,-3,0.99654633,4,0.00041509,0,-0.00159563,0.00344588,-0.0005232
72,406,-0.3152329,-3.14011955,0,-3,0.9965626,4,0.00046464,0,-0.00159552,0.00340469,-0.00065057
74,406,-0.31692928,-3.14548206,0,-3,0.99666512,4,0.00042552,0,-0.0015778,0.00335327,-0.00078312
76,406,-0.31958619,-3.15354323,0,-3,0.99662435,4,0.00046978,0,-0.00155755,0.00329132,-0.00091668
78,406,-0.32265243,-3.16343832,0,-3,0.99652928,4,0.00046686,0,-0.00153058,0.00321885,-0.00105133
