x,y,u,ux,uy,v,vx,vy
60,258,-0.40539581,-0.00037289,0.00110145,-3.50809431,-0.00047673,0.00347376
62,258,-0.40784428,-0.00024623,0.00088952,-3.50867271,-0.00049887,0.00334549
64,258,-0.40879539,-0.00022292,0.0008452,-3.5090661,-0.00063623,0.00330687
66,258,-0.40796354,0.00014603,0.00114979,-3.511338,-0.00071039,0.00307167
68,258,-0.40848553,0.00016701,0.00128951,-3.51309323,-0.00080512,0.00308943
70,258,-0.40677002,-0.00021946,0.00114158,-3.51629376,-0.00087849,0.0029397
72,258,-0.4095436,0.00007856,0.00108735,-3.51822257,-0.00104294,0.00287187
74,258,-0.40686786,-0.00021893,0.00100282,-3.51677251,-0.00102914,0.00260413
76,258,-0.40953407,-0.00022477,0.00091555,-3.51916671,-0.00109914,0.00249314
78,258,-0.41203725,-0.00021344,0.0006802,-3.52233458,-0.00120138,0.00240517
80,258,-0.40960556,-0.00026584,0.00084916,-3.52372503,-0.001154,0.00222623
82,258,-0.41028449,-0.00021333,0.00065292,-3.52604103,-0.00122915,0.00244427
84,258,-0.41166976,-0.0002073,0.00068136,-3.52712941,-0.00120088,0.00230014
86,258,-0.41225764,-0.00036031,0.00062096,-3.52939034,-0.00109611,0.00216091
88,258,-0.4142341,-0.00052816,0.00031132,-3.53152823,-0.00098229,0.00216889
90,258,-0.41600367,-0.00091124,0.0002568,-3.53240848,-0.00078032,0.0021528
92,258,-0.41730812,-0.00072396,0.00029102,-3.53268194,-0.00023294,0.00204599
94,258,-0.41693187,-0.00074482,0.00069343,-3.53378296,-0.00034554,0.00208354
96,258,-0.41821253,-0.00101846,0.00049296,-3.53568363,-0.00015929,0.0018183
98,258,-0.42097273,-0.0004496,0.000252,-3.53620911,-0.00017836,0.00183952
100,258,-0.42197582,-0.00045645,0.00019485,-3.53838277,-0.00033771,0.00161254
102,258,-0.41979444,-0.00035322,0.00003421,-3.53946924,-0.00040583,0.0015415
104,258,-0.42248675,-0.00020564,0.00031744,-3.53911328,-0.00038878,0.00164974
106,258,-0.4227418,-0.00008178,0.00006533,-3.53919554,-0.00030994,0.00174618
108,258,-0.42288432,-0.0000059,0.000088,-3.54161358,-0.00016046,0.00175583
110,258,-0.42174193,-0.00001085,0.00001176,-3.54177451,-0.00004709,0.00179923
112,258,-0.42134044,-0.00000769,0.00017557,-3.54206824,-0.00035075,0.00175011
114,258,-0.42330182,0.00019228,-0.00014783,-3.54249144,-0.00072185,0.00208175
116,258,-0.42598403,0.00003362,0.00026406,-3.54125524,-0.00032012,0.00194097
118,258,-0.42675424,-0.00018543,0.00000078,-3.54172754,-0.00041197,0.00185597
120,258,-0.42647174,-0.0003795,0.00011662,-3.54221344,-0.000359,0.00180948
122,258,-0.42717713,-0.00054598,0.00022154,-3.54500461,-0.00030784,0.00195789
124,258,-0.42732528,-0.00029898,0.00016238,-3.54774618,-0.00046453,0.0020833
126,258,-0.42528144,-0.00007886,-0.00008801,-3.55027723,-0.0006317,0.0019989
128,258,-0.42495066,-0.00036395,-0.00030074,-3.54777861,-0.00039839,0.00199032
130,258,-0.42494309,-0.0002318,-0.00027928,-3.54896331,-0.00025552,0.0023526
132,258,-0.42466798,-0.00025827,-0.00006312,-3.55014944,-0.00026869,0.00238013
134,258,-0.42805183,0.00012803,-0.0002309,-3.54949737,-0.00059186,0.00248861
136,258,-0.4296861,-0.00015897,-0.0001192,-3.55026126,-0.00050457,0.00244021
138,258,-0.4269481,-0.00001907,-0.00022086,-3.55163693,-0.00040943,0.00270295
140,258,-0.43129468,-0.00066024,-0.00034081,-3.55202532,-0.00035814,0.00272799
142,258,-0.43153569,-0.00028515,0.00000624,-3.55200076,-0.00018754,0.00280797
144,258,-0.43260613,-0.00007039,-0.00008424,-3.55157328,0.000097,0.00259411
146,258,-0.43147647,-0.00006926,-0.0000458,-3.55068326,0.00002473,0.00272119
148,258,-0.43123969,-0.00030607,-0.00009844,-3.5506804,0.00001016,0.00272501
150,258,-0.43383226,-0.00053251,-0.00008482,-3.55268288,0.00028731,0.00268173
152,258,-0.43375582,-0.00037718,-0.00014821,-3.55185032,0.00055536,0.00277889
154,258,-0.43425277,-0.00036275,-0.00039702,-3.5530498,0.00107978,0.00231397
156,258,-0.43234196,-0.00053829,-0.00007223,-3.55146289,0.00047615,0.00204635
158,258,-0.43521228,-0.00074589,-0.00024431,-3.54903364,0.00031813,0.00221717
160,258,-0.43425855,0.00015259,0.00005332,-3.54928327,0.0005195,0.00219893
162,258,-0.43614906,0.0002017,-0.00016056,-3.5489521,0.00054742,0.00193202
164,258,-0.4354448,0.00035119,-0.00022271,-3.54814863,0.00045474,0.00192928
166,258,-0.43364716,0.00063026,-0.00029908,-3.54901576,0.00040663,0.00186181
168,258,-0.43507078,0.00061429,-0.00010055,-3.54627872,0.00054302,0.0020622
170,258,-0.43339133,0.00032508,0.00005493,-3.54627061,0.00019559,0.0020169
172,258,-0.43304414,0.00031793,-0.000006,-3.54470515,0.00014153,0.0019393
174,258,-0.43486848,0.00030875,-0.00018298,-3.54340053,0.00033782,0.00196671
176,258,-0.43218121,-0.00017124,-0.00035575,-3.54277039,0.00047131,0.00203598
178,258,-0.43343654,0.00018299,-0.00013078,-3.54334807,0.00035966,0.00211954
180,258,-0.43149871,-0.00011081,-0.00017138,-3.54247022,0.00019808,0.00197172
182,258,-0.43351108,-0.00013924,-0.00035349,-3.54227042,0.00022135,0.00191879
184,258,-0.43331146,-0.00042725,-0.00016604,-3.54106045,0.00017396,0.00193799
186,258,-0.43501505,-0.00032818,-0.00021522,-3.5415411,0.00031068,0.00205612
188,258,-0.43509763,-0.00044292,-0.00013851,-3.54134107,0.00021826,0.00216925
190,258,-0.43581879,-0.00047725,-0.00017888,-3.54068947,0.00020488,0.00218999
192,258,-0.43692714,-0.00075549,-0.0000615,-3.53937387,0.00024468,0.00212944
194,258,-0.43713844,-0.00074458,-0.00037557,-3.53788733,0.00030656,0.00243747
196,258,-0.43908468,-0.00051844,-0.00024189,-3.53811264,0.00024868,0.00245893
198,258,-0.44219303,-0.00100994,-0.00033032,-3.53785181,0.00019622,0.00259566
200,258,-0.44342425,-0.00092274,-0.0004567,-3.53723192,-0.00003417,0.00252438
202,258,-0.44416687,-0.00070083,-0.00025447,-3.53564739,0.00008129,0.0024972
204,258,-0.4420414,-0.00037998,-0.00040531,-3.53564763,0.00002062,0.00265014
206,258,-0.44482881,-0.00066262,-0.0005042,-3.53464961,0.00018432,0.00242901
208,258,-0.44627395,-0.00068521,-0.00048596,-3.53516889,0.0006465,0.00231826
210,258,-0.44567803,-0.00052047,-0.00052123,-3.53490281,0.00073806,0.00263095
212,258,-0.44760969,-0.00030065,-0.00045178,-3.53264737,0.00046926,0.00271022
214,258,-0.44852847,-0.00035655,-0.00041928,-3.53224587,0.00039855,0.00271297
216,258,-0.44848064,-0.00044042,-0.00038316,-3.53132248,0.00022718,0.00283372
218,258,-0.45011821,-0.00021958,-0.00028982,-3.53090763,0.00035157,0.00296044
220,258,-0.45220047,-0.00045657,-0.00032409,-3.53152704,0.00035503,0.00307834
222,258,-0.45216152,-0.0004909,-0.0005145,-3.53164625,0.00027914,0.00319898
